pokemon,id,form,rank,ability,raito
ヒトカゲ,4,0,1,サンパワー,100.0
リザード,5,0,1,もうか,100.0
リザードン,6,0,1,サンパワー,53.4
リザードン,6,0,2,もうか,46.6
ピカチュウ,25,0,1,せいでんき,53.2
ピカチュウ,25,0,2,ひらいしん,46.8
ライチュウ,26,0,1,ひらいしん,70.2
ライチュウ,26,0,2,せいでんき,29.8
ライチュウ,26,1,1,サーフテール,100.0
プリン,39,0,1,メロメロボディ,72.7
プリン,39,0,2,かちき,27.3
プクリン,40,0,1,かちき,60.0
プクリン,40,0,2,おみとおし,34.7
プクリン,40,0,3,メロメロボディ,5.3
コンパン,48,0,1,ふくがん,100.0
モルフォン,49,0,1,いろめがね,65.9
モルフォン,49,0,2,ミラクルスキン,24.5
モルフォン,49,0,3,りんぷん,9.6
ディグダ,50,0,1,ありじごく,100.0
ディグダ,50,1,1,カーリーヘアー,100.0
ダグトリオ,51,0,1,ありじごく,95.2
ダグトリオ,51,0,2,すなのちから,2.6
ダグトリオ,51,0,3,すながくれ,2.2
ダグトリオ,51,1,1,カーリーヘアー,91.7
ダグトリオ,51,1,2,すなのちから,6.5
ダグトリオ,51,1,3,すながくれ,1.8
ニャース,52,0,1,テクニシャン,100.0
ニャース,52,1,1,テクニシャン,100.0
ニャース,52,2,1,かたいツメ,50.0
ニャース,52,2,2,きんちょうかん,50.0
ペルシアン,53,0,1,テクニシャン,94.4
ペルシアン,53,0,2,じゅうなん,5.2
ペルシアン,53,0,3,きんちょうかん,0.5
ペルシアン,53,1,1,ファーコート,99.2
ペルシアン,53,1,2,テクニシャン,0.8
ペルシアン,53,1,3,びびり,0.0
コダック,54,0,1,すいすい,67.1
コダック,54,0,2,ノーてんき,30.0
コダック,54,0,3,しめりけ,2.9
ゴルダック,55,0,1,すいすい,74.8
ゴルダック,55,0,2,ノーてんき,19.3
ゴルダック,55,0,3,しめりけ,6.0
マンキー,56,0,1,まけんき,100.0
オコリザル,57,0,1,いかりのつぼ,67.4
オコリザル,57,0,2,やるき,21.4
オコリザル,57,0,3,まけんき,11.2
ガーディ,58,0,1,いかく,71.4
ガーディ,58,0,2,もらいび,28.6
ガーディ,58,1,1,いしあたま,75.0
ガーディ,58,1,2,もらいび,25.0
ウインディ,59,0,1,いかく,93.8
ウインディ,59,0,2,もらいび,5.6
ウインディ,59,0,3,せいぎのこころ,0.6
ウインディ,59,1,1,いしあたま,92.2
ウインディ,59,1,2,いかく,6.6
ウインディ,59,1,3,もらいび,1.2
ヤドン,79,0,1,どんかん,50.6
ヤドン,79,0,2,さいせいりょく,47.2
ヤドン,79,0,3,マイペース,2.2
ヤドン,79,1,1,さいせいりょく,75.0
ヤドン,79,1,2,マイペース,25.0
ヤドラン,80,0,1,さいせいりょく,77.4
ヤドラン,80,0,2,どんかん,21.0
ヤドラン,80,0,3,マイペース,1.6
ヤドラン,80,2,1,クイックドロウ,93.8
ヤドラン,80,2,2,さいせいりょく,5.9
ヤドラン,80,2,3,マイペース,0.2
コイル,81,0,1,がんじょう,98.6
コイル,81,0,2,アナライズ,1.4
レアコイル,82,0,1,がんじょう,56.3
レアコイル,82,0,2,アナライズ,40.5
レアコイル,82,0,3,じりょく,3.3
ベトベター,88,0,1,ねんちゃく,100.0
ベトベトン,89,0,1,ねんちゃく,65.8
