pokemon,id,form,rank,item,raito
リザード,5,0,1,しんかのきせき,85.7
リザード,5,0,2,きあいのタスキ,14.3
リザードン,6,0,1,こだわりスカーフ,23.0
リザードン,6,0,2,いのちのたま,14.5
リザードン,6,0,3,オボンのみ,13.1
リザードン,6,0,4,きあいのタスキ,12.6
リザードン,6,0,5,あつぞこブーツ,8.2
リザードン,6,0,6,こだわりメガネ,5.8
リザードン,6,0,7,カムラのみ,4.9
リザードン,6,0,8,もくたん,2.6
リザードン,6,0,9,とつげきチョッキ,2.4
リザードン,6,0,10,パワフルハーブ,1.7
ピカチュウ,25,0,1,でんきだま,89.0
ピカチュウ,25,0,2,しんかのきせき,5.5
ピカチュウ,25,0,3,きあいのタスキ,4.6
ピカチュウ,25,0,4,たべのこし,0.4
ピカチュウ,25,0,5,ふうせん,0.3
ピカチュウ,25,0,6,ひかりのねんど,0.2
ピカチュウ,25,0,7,いのちのたま,0.1
ピカチュウ,25,0,8,せんせいのツメ,0.0
ライチュウ,26,0,1,きあいのタスキ,43.9
ライチュウ,26,0,2,ひかりのねんど,23.0
ライチュウ,26,0,3,ふうせん,16.0
ライチュウ,26,0,4,いのちのたま,3.1
ライチュウ,26,0,5,とつげきチョッキ,2.1
ライチュウ,26,0,6,こだわりスカーフ,2.1
ライチュウ,26,0,7,こだわりメガネ,2.0
ライチュウ,26,0,8,じしゃく,1.3
ライチュウ,26,0,9,ラムのみ,0.8
ライチュウ,26,0,10,モモンのみ,0.6
ライチュウ,26,1,1,きあいのタスキ,31.8
ライチュウ,26,1,2,いのちのたま,25.7
ライチュウ,26,1,3,エレキシード,20.0
ライチュウ,26,1,4,こだわりメガネ,6.2
ライチュウ,26,1,5,オボンのみ,3.3
ライチュウ,26,1,6,ふうせん,2.5
ライチュウ,26,1,7,とつげきチョッキ,2.4
ライチュウ,26,1,8,じしゃく,2.0
ライチュウ,26,1,9,グランドコート,1.5
ライチュウ,26,1,10,こだわりスカーフ,1.1
プリン,39,0,1,しんかのきせき,100.0
プクリン,40,0,1,オボンのみ,44.7
プクリン,40,0,2,とつげきチョッキ,9.4
プクリン,40,0,3,メンタルハーブ,8.0
プクリン,40,0,4,たべのこし,7.6
プクリン,40,0,5,ゴツゴツメット,4.2
