pokemon,id,form,rank,move,raito
ヒトカゲ,4,0,1,なきごえ,50.0
ヒトカゲ,4,0,2,ほのおのうず,50.0
ヒトカゲ,4,0,3,れんごく,50.0
ヒトカゲ,4,0,4,こわいかお,50.0
ヒトカゲ,4,0,5,ひのこ,50.0
ヒトカゲ,4,0,6,フレアドライブ,50.0
ヒトカゲ,4,0,7,ひっかく,33.3
ヒトカゲ,4,0,8,かえんほうしゃ,16.7
ヒトカゲ,4,0,9,えんまく,16.7
リザード,5,0,1,オーバーヒート,63.6
リザード,5,0,2,りゅうのはどう,63.6
リザード,5,0,3,かえんほうしゃ,63.6
リザード,5,0,4,きあいだま,63.6
リザード,5,0,5,なきごえ,36.4
リザード,5,0,6,ひのこ,36.4
リザード,5,0,7,えんまく,36.4
リザード,5,0,8,りゅうのいぶき,36.4
リザードン,6,0,1,ねっぷう,93.9
リザードン,6,0,2,エアスラッシュ,77.1
リザードン,6,0,3,オーバーヒート,46.8
リザードン,6,0,4,ソーラービーム,37.1
リザードン,6,0,5,きあいだま,35.4
リザードン,6,0,6,まもる,28.4
リザードン,6,0,7,かえんほうしゃ,15.1
リザードン,6,0,8,テラバースト,12.0
リザードン,6,0,9,りゅうのはどう,11.4
リザードン,6,0,10,ぼうふう,8.2
ピカチュウ,25,0,1,ねこだまし,77.9
ピカチュウ,25,0,2,ボルテッカー,49.9
ピカチュウ,25,0,3,まもる,43.3
ピカチュウ,25,0,4,くさむすび,28.9
ピカチュウ,25,0,5,１０まんボルト,19.8
ピカチュウ,25,0,6,かみなり,18.8
ピカチュウ,25,0,7,かわらわり,14.7
ピカチュウ,25,0,8,なみのり,14.7
ピカチュウ,25,0,9,ほっぺすりすり,14.4
ピカチュウ,25,0,10,テラバースト,14.3
ライチュウ,26,0,1,ねこだまし,82.9
ライチュウ,26,0,2,ほっぺすりすり,47.0
ライチュウ,26,0,3,ボルトチェンジ,39.5
ライチュウ,26,0,4,１０まんボルト,35.8
ライチュウ,26,0,5,なみのり,28.1
ライチュウ,26,0,6,かみなり,26.9
ライチュウ,26,0,7,まもる,21.7
ライチュウ,26,0,8,フェイント,19.5
ライチュウ,26,0,9,アンコール,16.5
ライチュウ,26,0,10,くさむすび,13.2
ライチュウ,26,1,1,まもる,51.7
ライチュウ,26,1,2,サイコキネシス,49.8
ライチュウ,26,1,3,１０まんボルト,46.0
ライチュウ,26,1,4,ねこだまし,38.9
ライチュウ,26,1,5,わるだくみ,29.1
ライチュウ,26,1,6,エレキボール,27.1
ライチュウ,26,1,7,アンコール,20.9
ライチュウ,26,1,8,フェイント,15.1
ライチュウ,26,1,9,ほうでん,14.8
ライチュウ,26,1,10,かみなり,14.5
プリン,39,0,1,まもる,79.2
プリン,39,0,2,ほろびのうた,65.8
プリン,39,0,3,いやしのはどう,57.7
プリン,39,0,4,かなしばり,48.7
プリン,39,0,5,てだすけ,30.9
プリン,39,0,6,うたう,28.9
