pokemon,id,form,rank,move,raito
ヒトカゲ,4,0,1,なきごえ,96.4
ヒトカゲ,4,0,2,ひっかく,92.7
ヒトカゲ,4,0,3,りゅうのいぶき,7.3
ヒトカゲ,4,0,4,ひのこ,5.5
ヒトカゲ,4,0,5,えんまく,5.5
ヒトカゲ,4,0,6,きりさく,3.6
ヒトカゲ,4,0,7,ほのおのキバ,3.6
ヒトカゲ,4,0,8,かえんほうしゃ,3.6
リザード,5,0,1,こわいかお,58.3
リザード,5,0,2,かえんほうしゃ,58.3
リザード,5,0,3,おにび,50.0
リザード,5,0,4,えんまく,33.3
リザード,5,0,5,カウンター,29.2
リザード,5,0,6,シャドークロー,29.2
リザード,5,0,7,ほのおのうず,29.2
リザード,5,0,8,れんごく,20.8
リザード,5,0,9,フレアドライブ,20.8
リザード,5,0,10,りゅうのいぶき,8.3
リザードン,6,0,1,エアスラッシュ,58.8
リザードン,6,0,2,かえんほうしゃ,46.3
リザードン,6,0,3,ソーラービーム,30.8
リザードン,6,0,4,だいもんじ,24.5
リザードン,6,0,5,オーバーヒート,23.9
リザードン,6,0,6,テラバースト,23.0
リザードン,6,0,7,じしん,20.3
リザードン,6,0,8,りゅうのはどう,20.1
リザードン,6,0,9,きあいだま,17.3
リザードン,6,0,10,フレアドライブ,13.0
ピカチュウ,25,0,1,なみのり,36.8
ピカチュウ,25,0,2,１０まんボルト,32.5
ピカチュウ,25,0,3,ボルテッカー,31.8
ピカチュウ,25,0,4,ねこだまし,26.2
ピカチュウ,25,0,5,くさわけ,25.7
ピカチュウ,25,0,6,アンコール,24.2
ピカチュウ,25,0,7,ほっぺすりすり,23.6
ピカチュウ,25,0,8,テラバースト,23.5
ピカチュウ,25,0,9,じゃれつく,18.3
ピカチュウ,25,0,10,かみなり,17.9
ライチュウ,26,0,1,ほっぺすりすり,61.9
ライチュウ,26,0,2,１０まんボルト,57.6
ライチュウ,26,0,3,なみのり,54.4
ライチュウ,26,0,4,アンコール,52.1
ライチュウ,26,0,5,ひかりのかべ,24.5
ライチュウ,26,0,6,リフレクター,23.1
ライチュウ,26,0,7,テラバースト,20.2
ライチュウ,26,0,8,くさむすび,17.7
ライチュウ,26,0,9,わるだくみ,17.1
ライチュウ,26,0,10,ボルトチェンジ,15.3
ライチュウ,26,1,1,１０まんボルト,74.8
ライチュウ,26,1,2,サイコキネシス,51.8
ライチュウ,26,1,3,わるだくみ,46.8
ライチュウ,26,1,4,なみのり,39.4
ライチュウ,26,1,5,サイコショック,24.2
ライチュウ,26,1,6,テラバースト,18.3
ライチュウ,26,1,7,ほっぺすりすり,17.1
ライチュウ,26,1,8,エレキフィールド,15.1
ライチュウ,26,1,9,ボルトチェンジ,13.4
ライチュウ,26,1,10,エレキボール,12.2
プリン,39,0,1,ステルスロック,76.9
プリン,39,0,2,ほろびのうた,76.4
プリン,39,0,3,まもる,63.1
プリン,39,0,4,ねがいごと,59.0
プリン,39,0,5,ひかりのかべ,15.4
プリン,39,0,6,ジャイロボール,11.3
プリン,39,0,7,アンコール,11.3
プリン,39,0,8,あまえる,10.3
プリン,39,0,9,れいとうビーム,9.2
プリン,39,0,10,リフレクター,8.2
プクリン,40,0,1,ステルスロック,38.1
プクリン,40,0,2,でんじは,34.1
プクリン,40,0,3,ほろびのうた,29.4
プクリン,40,0,4,ドレインキッス,29.2
プクリン,40,0,5,マジカルシャイン,29.1
プクリン,40,0,6,バトンタッチ,28.1
プクリン,40,0,7,れいとうビーム,27.6
プクリン,40,0,8,アンコール,22.7
プクリン,40,0,9,たくわえる,20.3
プクリン,40,0,10,ねがいごと,18.7
コンパン,48,0,1,ねむりごな,99.7
コンパン,48,0,2,あさのひざし,88.7
コンパン,48,0,3,ナイトヘッド,73.3
コンパン,48,0,4,どくびし,69.1
コンパン,48,0,5,こうそくいどう,20.8
コンパン,48,0,6,バトンタッチ,15.4
コンパン,48,0,7,とびつく,9.2
コンパン,48,0,8,しびれごな,6.2
コンパン,48,0,9,きゅうけつ,5.9
コンパン,48,0,10,みがわり,5.3
モルフォン,49,0,1,ちょうのまい,94.1
モルフォン,49,0,2,むしのさざめき,68.5
モルフォン,49,0,3,ねむりごな,45.8
モルフォン,49,0,4,ヘドロばくだん,43.6
モルフォン,49,0,5,バトンタッチ,32.1
モルフォン,49,0,6,みがわり,19.6
モルフォン,49,0,7,サイコキネシス,18.0
モルフォン,49,0,8,ギガドレイン,17.1
モルフォン,49,0,9,あさのひざし,16.9
モルフォン,49,0,10,テラバースト,10.1
ディグダ,50,0,1,じしん,76.3
ディグダ,50,0,2,ステルスロック,71.1
ディグダ,50,0,3,おきみやげ,71.1
ディグダ,50,0,4,がんせきふうじ,68.4
ディグダ,50,0,5,すなかけ,18.4
ディグダ,50,0,6,ひっかく,15.8
ディグダ,50,0,7,みがわり,10.5
ディグダ,50,0,8,つるぎのまい,10.5
ディグダ,50,0,9,じならし,7.9
ディグダ,50,0,10,おどろかす,7.9
ディグダ,50,1,1,ステルスロック,100.0
ディグダ,50,1,2,あまえる,70.0
ディグダ,50,1,3,ふいうち,70.0
ディグダ,50,1,4,じわれ,70.0
ディグダ,50,1,5,じしん,30.0
ディグダ,50,1,6,おきみやげ,30.0
ディグダ,50,1,7,イカサマ,30.0
ダグトリオ,51,0,1,じしん,80.8
ダグトリオ,51,0,2,ふいうち,55.0
ダグトリオ,51,0,3,ステルスロック,44.4
ダグトリオ,51,0,4,がんせきふうじ,35.9
ダグトリオ,51,0,5,おきみやげ,34.0
ダグトリオ,51,0,6,つるぎのまい,23.5
ダグトリオ,51,0,7,きしかいせい,23.5
ダグトリオ,51,0,8,みがわり,23.1
ダグトリオ,51,0,9,じわれ,19.4
ダグトリオ,51,0,10,ロックブラスト,8.2
ダグトリオ,51,1,1,じしん,91.9
ダグトリオ,51,1,2,アイアンヘッド,86.1
ダグトリオ,51,1,3,ふいうち,59.3
ダグトリオ,51,1,4,つるぎのまい,33.3
ダグトリオ,51,1,5,おきみやげ,26.3
ダグトリオ,51,1,6,じわれ,17.5
ダグトリオ,51,1,7,ステルスロック,17.2
ダグトリオ,51,1,8,きしかいせい,14.6
ダグトリオ,51,1,9,がんせきふうじ,14.0
ダグトリオ,51,1,10,テラバースト,12.4
ニャース,52,0,1,ねこだまし,96.6
ニャース,52,0,2,ちょうはつ,89.7
ニャース,52,0,3,でんじは,73.3
ニャース,52,0,4,かみつく,54.8
ニャース,52,0,5,ほしがる,21.9
ニャース,52,0,6,バークアウト,13.7
ニャース,52,0,7,あまえる,13.0
ニャース,52,0,8,なきごえ,8.2
ニャース,52,0,9,ダメおし,3.4
ニャース,52,0,10,みだれひっかき,2.1
