id,no,name,eng,type1,type2,ability1,ability2,ability3,h,a,b,c,d,s,icon
1.1,1,フシギダネ,Bulbasaur,くさ,どく,しんりょく,ようりょくそ,なし,45,49,49,65,65,45,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/001.png
2.1,2,フシギソウ,Ivysaur,くさ,どく,しんりょく,ようりょくそ,なし,60,62,63,80,80,60,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/002.png
3.1,3,フシギバナ,Venusaur,くさ,どく,しんりょく,ようりょくそ,なし,80,82,83,100,100,80,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/003.png
3.2,3,メガフシギバナ,Mega Venusaur,くさ,どく,あついしぼう,なし,なし,80,100,123,122,120,80,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/003-m.png
4.1,4,ヒトカゲ,Charmander,ほのお,なし,もうか,サンパワー,なし,39,52,43,60,50,65,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/004.png
5.1,5,リザード,Charmeleon,ほのお,なし,もうか,サンパワー,なし,58,64,58,80,65,80,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/005.png
6.1,6,リザードン,Charizard,ほのお,ひこう,もうか,サンパワー,なし,78,84,78,109,85,100,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/006.png
6.2,6,メガリザードンX,Mega Charizard X,ほのお,ドラゴン,かたいツメ,なし,なし,78,130,111,130,85,100,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/04/006-mx.png
6.3,6,メガリザードンY,Mega Charizard Y,ほのお,ひこう,ひでり,なし,なし,78,104,78,159,115,100,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/05/006-my.png
7.1,7,ゼニガメ,Squirtle,みず,なし,げきりゅう,あめうけざら,なし,44,48,65,50,64,43,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/007.png
8.1,8,カメール,Wartortle,みず,なし,げきりゅう,あめうけざら,なし,59,63,80,65,80,58,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/008.png
9.1,9,カメックス,Blastoise,みず,なし,げきりゅう,あめうけざら,なし,79,83,100,85,105,78,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/009.png
9.2,9,メガカメックス,Mega Blastoise,みず,なし,メガランチャー,なし,なし,79,103,120,135,115,78,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/009-m.png
10.1,10,キャタピー,Caterpie,むし,なし,りんぷん,にげあし,なし,45,30,35,20,20,45,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/010.png
11.1,11,トランセル,Metapod,むし,なし,だっぴ,なし,なし,50,20,55,25,25,30,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/011.png
12.1,12,バタフリー,Butterfree,むし,ひこう,ふくがん,いろめがね,なし,60,45,50,90,80,70,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/012.png
13.1,13,ビードル,Weedle,むし,どく,りんぷん,にげあし,なし,40,35,30,20,20,50,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/013.png
14.1,14,コクーン,Kakuna,むし,どく,だっぴ,なし,なし,45,25,50,25,25,35,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/014.png
15.1,15,スピアー,Beedrill,むし,どく,むしのしらせ,スナイパー,なし,65,90,40,45,80,75,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/015.png
15.2,15,メガスピアー,Mega Beedrill,むし,どく,てきおうりょく,なし,なし,65,150,40,15,80,145,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/015-m.png
16.1,16,ポッポ,Pidgey,ノーマル,ひこう,するどいめ,ちどりあし,はとむね,40,45,40,35,35,56,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/016.png
17.1,17,ピジョン,Pidgeotto,ノーマル,ひこう,するどいめ,ちどりあし,はとむね,63,60,55,50,50,71,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/017.png
18.1,18,ピジョット,Pidgeot,ノーマル,ひこう,するどいめ,ちどりあし,はとむね,83,80,75,70,70,101,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/018.png
18.2,18,メガピジョット,Mega Pidgeot,ノーマル,ひこう,ノーガード,なし,なし,83,80,80,135,80,121,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/05/018-m.png
19.1,19,コラッタ,Rattata,ノーマル,なし,にげあし,こんじょう,はりきり,30,56,35,25,35,72,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/019.png
19.2,19,コラッタ(アローラ),Alolan Rattata,あく,ノーマル,くいしんぼう,はりきり,あついしぼう,30,56,35,25,35,72,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/019-a.png
20.1,20,ラッタ,Raticate,ノーマル,なし,にげあし,こんじょう,はりきり,55,81,60,50,70,97,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/020.png
20.2,20,ラッタ(アローラ),Alolan Raticate,あく,ノーマル,くいしんぼう,はりきり,あついしぼう,75,71,70,40,80,77,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/020-a.png
21.1,21,オニスズメ,Spearow,ノーマル,ひこう,するどいめ,スナイパー,なし,40,60,30,31,31,70,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/021.png
22.1,22,オニドリル,Fearow,ノーマル,ひこう,するどいめ,スナイパー,なし,65,90,65,61,61,100,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/022.png
23.1,23,アーボ,Ekans,どく,なし,いかく,だっぴ,きんちょうかん,35,60,44,40,54,55,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/023.png
24.1,24,アーボック,Arbok,どく,なし,いかく,だっぴ,きんちょうかん,60,95,69,65,79,80,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/024.png
25.1,25,ピカチュウ,Pikachu,でんき,なし,せいでんき,ひらいしん,なし,35,55,40,50,50,90,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/025.png
26.1,26,ライチュウ,Raichu,でんき,なし,せいでんき,ひらいしん,なし,60,90,55,90,80,110,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/026.png
26.2,26,ライチュウ(アローラ),Alolan Raichu,でんき,エスパー,サーフテール,なし,なし,60,85,50,95,85,110,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/026-a.png
27.1,27,サンド,Sandshrew,じめん,なし,すながくれ,すなかき,なし,50,75,85,20,30,40,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/027.png
27.2,27,サンド(アローラ),Alolan Sandshrew,こおり,はがね,ゆきがくれ,ゆきかき,なし,50,75,90,10,35,40,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/027-a.png
28.1,28,サンドパン,Sandslash,じめん,なし,すながくれ,すなかき,なし,75,100,110,45,55,65,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/028.png
28.2,28,サンドパン(アローラ),Alolan Sandslash,こおり,はがね,ゆきがくれ,ゆきかき,なし,75,100,120,25,65,65,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/028-a.png
29.1,29,ニドラン♀,Nidoran♀,どく,なし,どくのトゲ,とうそうしん,はりきり,55,47,52,40,40,41,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/029.png
30.1,30,ニドリーナ,Nidorina,どく,なし,どくのトゲ,とうそうしん,はりきり,70,62,67,55,55,56,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/030.png
31.1,31,ニドクイン,Nidoqueen,どく,じめん,どくのトゲ,とうそうしん,ちからずく,90,92,87,75,85,76,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/031.png
32.1,32,ニドラン♂,Nidoran♂,どく,なし,どくのトゲ,とうそうしん,はりきり,46,57,40,40,40,50,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/032.png
