id,form_id,pokemon
1,0,ハバタクカミ
2,0,カイリュー
3,0,パオジアン
4,1,ウーラオス
5,0,サーフゴー
6,0,ヒードラン
7,0,テツノツツミ
8,0,ディンルー
9,1,ランドロス
10,0,ガチグマ
11,1,ヌメルゴン
12,0,サンダー
13,0,ミミッキュ
14,1,ボルトロス
15,0,クレセリア
16,0,ヘイラッシャ
17,0,ウーラオス
18,0,イーユイ
19,0,オオニューラ
20,2,ロトム
21,0,コノヨザル
22,0,ガブリアス
23,0,ハッサム
24,0,セグレイブ
25,0,ドオー
26,0,キョジオーン
27,0,ゲッコウガ
28,0,マスカーニャ
29,0,キノガッサ
30,0,モロバレル
31,0,ドラパルト
32,0,マリルリ
33,0,バサギリ
34,0,レジエレキ
35,0,テツノブジン
36,0,アーマーガア
37,0,チオンジェン
38,1,ヤドキング
39,0,ドヒドイデ
40,0,ウルガモス
41,0,イダイトウ
42,0,ドドゲザン
43,1,ゾロアーク
44,0,テツノカイナ
45,0,テツノドクガ
46,0,キラフロル
47,0,カバルドン
48,0,ジバコイル
49,0,ラウドボーン
50,0,ゴリランダー
51,0,オーロンゲ
52,0,ニンフィア
53,1,ダイケンキ
54,0,トドロクツキ
55,0,ソウブレイズ
56,0,デカヌチャン
57,0,ペリッパー
58,0,イルカマン
59,0,イダイナキバ
60,0,クエスパトラ
61,0,ギャラドス
62,1,ウインディ
63,0,バンギラス
64,0,コータス
65,0,ボーマンダ
66,1,ドレディア
67,0,サザンドラ
68,0,エースバーン
69,0,ウインディ
70,0,ブリガロン
71,0,ルカリオ
72,0,ウェーニバル
73,0,サーナイト
74,0,ユクシー
75,0,トリトドン
76,1,サンダー
77,0,パーモット
78,0,レイスポス
79,0,ゲンガー
80,0,ハピナス
81,0,ハラバリー
82,0,オリーヴァ
83,0,ブラッキー
84,3,ケンタロス
85,0,ランドロス
86,0,パルシェン
87,0,エルレイド
88,0,サケブシッポ
89,1,ロトム
90,1,ジュナイパー
91,1,ファイヤー
92,0,オノノクス
93,0,グレンアルマ
94,0,ブリザポス
95,0,ミミズズ
96,0,スナノケガワ
97,0,シャワーズ
98,0,エーフィ
99,0,モスノウ
100,0,フワライド
101,0,ブリムオン
102,0,クレベース
103,0,ユキノオー
104,0,リザードン
105,0,ラッキー
106,0,ラブトロス
107,0,チヲハウハネ
108,1,ラブトロス
109,0,テツノワダチ
110,0,ハリーマン
111,1,バクフーン
112,0,アラブルタケ
113,0,イッカネズミ
114,1,イダイトウ
115,1,ベトベトン
116,0,フォレトス
117,0,レジドラゴ
118,0,ヌメルゴン
119,2,ケンタロス
120,0,ゴチルゼル
121,0,グレイシア
122,1,マルマイン
123,0,クレッフィ
124,0,ヤミラミ
125,2,ルガルガン
126,0,マフォクシー
127,0,ポットデス
128,0,メタモン
129,0,ドータクン
130,0,フリーザー
131,0,エクスレッグ
132,0,サンダース
133,1,ウォーグル
134,0,エンニュート
135,0,ムクホーク
136,0,トルネロス
137,0,ハリテヤマ
138,0,ファイアロー
139,0,リーフィア
140,0,ファイヤー
141,0,タルップル
142,0,ヌオー
143,0,ヤドラン
144,0,ボルトロス
145,0,ドクロッグ
146,0,ジュナイパー
147,0,タイカイデン
148,0,ベトベトン
149,0,ワタッコ
150,0,ハカドッグ
