pokemon,id,form,rank,terastype,raito
リザード,5,0,1,ほのお,100.0
リザードン,6,0,1,ほのお,72.7
リザードン,6,0,2,ドラゴン,7.2
リザードン,6,0,3,くさ,5.3
リザードン,6,0,4,じめん,4.7
リザードン,6,0,5,ゴースト,3.2
リザードン,6,0,6,みず,2.4
リザードン,6,0,7,あく,1.3
リザードン,6,0,8,かくとう,1.0
リザードン,6,0,9,はがね,0.8
リザードン,6,0,10,ひこう,0.4
ピカチュウ,25,0,1,でんき,29.5
ピカチュウ,25,0,2,みず,27.3
ピカチュウ,25,0,3,ひこう,18.2
ピカチュウ,25,0,4,こおり,13.6
ピカチュウ,25,0,5,フェアリー,6.8
ピカチュウ,25,0,6,ゴースト,2.3
ピカチュウ,25,0,7,くさ,2.3
ライチュウ,26,0,1,みず,57.1
ライチュウ,26,0,2,ひこう,21.6
ライチュウ,26,0,3,でんき,9.2
ライチュウ,26,0,4,こおり,5.5
ライチュウ,26,0,5,ゴースト,3.7
ライチュウ,26,0,6,くさ,1.1
ライチュウ,26,0,7,はがね,0.7
ライチュウ,26,0,8,かくとう,0.7
ライチュウ,26,0,9,ほのお,0.4
ライチュウ,26,1,1,でんき,53.6
ライチュウ,26,1,2,くさ,23.2
ライチュウ,26,1,3,こおり,4.6
ライチュウ,26,1,4,ゴースト,4.1
ライチュウ,26,1,5,フェアリー,4.1
ライチュウ,26,1,6,みず,4.1
ライチュウ,26,1,7,じめん,3.6
ライチュウ,26,1,8,ひこう,1.0
ライチュウ,26,1,9,あく,0.5
ライチュウ,26,1,10,はがね,0.5
プリン,39,0,1,はがね,50.0
プリン,39,0,2,みず,16.7
プリン,39,0,3,ノーマル,16.7
プリン,39,0,4,でんき,16.7
プクリン,40,0,1,フェアリー,77.3
プクリン,40,0,2,ゴースト,11.7
プクリン,40,0,3,はがね,8.6
プクリン,40,0,4,じめん,0.8
プクリン,40,0,5,でんき,0.8
プクリン,40,0,6,くさ,0.8
コンパン,48,0,1,いわ,100.0
モルフォン,49,0,1,どく,36.4
モルフォン,49,0,2,みず,31.8
モルフォン,49,0,3,むし,18.2
モルフォン,49,0,4,ゴースト,9.1
モルフォン,49,0,5,あく,4.5
ダグトリオ,51,0,1,じめん,50.0
ダグトリオ,51,0,2,あく,50.0
ダグトリオ,51,1,1,じめん,51.4
ダグトリオ,51,1,2,ゴースト,40.0
ダグトリオ,51,1,3,はがね,5.7
ダグトリオ,51,1,4,ドラゴン,2.9
ペルシアン,53,0,1,ひこう,85.7
ペルシアン,53,0,2,くさ,14.3
ペルシアン,53,1,1,どく,29.9
ペルシアン,53,1,2,ゴースト,23.0
ペルシアン,53,1,3,あく,13.8
ペルシアン,53,1,4,フェアリー,11.5
ペルシアン,53,1,5,いわ,9.2
ペルシアン,53,1,6,こおり,5.7
ペルシアン,53,1,7,はがね,4.6
ペルシアン,53,1,8,ほのお,2.3
ゴルダック,55,0,1,ゴースト,28.1
ゴルダック,55,0,2,みず,25.2
ゴルダック,55,0,3,くさ,23.7
ゴルダック,55,0,4,こおり,10.4
ゴルダック,55,0,5,じめん,5.2
ゴルダック,55,0,6,いわ,4.4
ゴルダック,55,0,7,ほのお,1.5
ゴルダック,55,0,8,ドラゴン,0.7
ゴルダック,55,0,9,かくとう,0.7
オコリザル,57,0,1,みず,78.5
オコリザル,57,0,2,どく,11.3
オコリザル,57,0,3,くさ,3.7
オコリザル,57,0,4,はがね,3.6
オコリザル,57,0,5,ほのお,1.6
オコリザル,57,0,6,いわ,0.6
オコリザル,57,0,7,ゴースト,0.3
オコリザル,57,0,8,でんき,0.1
オコリザル,57,0,9,フェアリー,0.1
オコリザル,57,0,10,ドラゴン,0.1
ガーディ,58,0,1,みず,100.0
ウインディ,59,0,1,くさ,48.7
ウインディ,59,0,2,ノーマル,23.9
ウインディ,59,0,3,みず,14.5
ウインディ,59,0,4,フェアリー,3.2
ウインディ,59,0,5,ほのお,2.7
ウインディ,59,0,6,ひこう,1.5
ウインディ,59,0,7,ゴースト,1.4
ウインディ,59,0,8,あく,1.2
ウインディ,59,0,9,かくとう,0.8
ウインディ,59,0,10,ドラゴン,0.6
ウインディ,59,1,1,くさ,43.6
ウインディ,59,1,2,ノーマル,21.7
ウインディ,59,1,3,フェアリー,13.2
ウインディ,59,1,4,みず,10.7
ウインディ,59,1,5,ほのお,3.4
ウインディ,59,1,6,ひこう,2.1
ウインディ,59,1,7,ゴースト,1.7
ウインディ,59,1,8,いわ,1.7
ウインディ,59,1,9,でんき,0.8
ウインディ,59,1,10,むし,0.5
ヤドン,79,0,1,くさ,78.1
ヤドン,79,0,2,ノーマル,9.4
ヤドン,79,0,3,あく,4.2
ヤドン,79,0,4,フェアリー,4.2
ヤドン,79,0,5,みず,3.1
ヤドン,79,0,6,ひこう,1.0
